
Joukovsky f=0% t=18%
1.00000000	0.00000000
0.99549361	0.00008490
0.98878866	0.00033213
0.97991750	0.00079291
0.96892265	0.00151836
0.95585632	0.00255422
0.94077994	0.00393919
0.92376352	0.00570427
0.90488506	0.00787149
0.88422985	0.01045374
0.86188981	0.01345384
0.83796287	0.01686478
0.81255226	0.02066911
0.78576598	0.02483952
0.75771621	0.02933877
0.72851891	0.03412027
0.69829335	0.03912874
0.66716181	0.04430086
0.63524935	0.04956626
0.60268358	0.05484849
0.56959460	0.06006617
0.53611489	0.06513419
0.50237933	0.06996508
0.46852516	0.07447027
0.43469206	0.07856153
0.40102211	0.08215234
0.36765988	0.08515931
0.33475240	0.08750349
0.30244913	0.08911178
0.27090200	0.08991825
0.24026535	0.08986510
0.21069599	0.08890361
0.18235332	0.08699596
0.15539972	0.08411488
0.13000117	0.08024599
0.10632859	0.07538762
0.08455967	0.06955428
0.06488211	0.06277912
0.04749750	0.05512202
0.03262405	0.04668608
0.02049066	0.03765001
0.01129965	0.02832573
0.00511576	0.01922562
0.00167424	0.01105118
0.00027614	0.00449662
0.00000000	-0.00000000
0.00027614	-0.00449662
0.00167424	-0.01105118
0.00511576	-0.01922562
0.01129965	-0.02832573
0.02049066	-0.03765001
0.03262405	-0.04668608
0.04749750	-0.05512202
0.06488211	-0.06277912
0.08455967	-0.06955428
0.10632859	-0.07538762
0.13000117	-0.08024599
0.15539972	-0.08411488
0.18235332	-0.08699596
0.21069599	-0.08890361
0.24026535	-0.08986510
0.27090200	-0.08991825
0.30244913	-0.08911178
0.33475240	-0.08750349
0.36765988	-0.08515931
0.40102211	-0.08215234
0.43469206	-0.07856153
0.46852516	-0.07447027
0.50237933	-0.06996508
0.53611489	-0.06513419
0.56959460	-0.06006617
0.60268358	-0.05484849
0.63524935	-0.04956626
0.66716181	-0.04430086
0.69829335	-0.03912874
0.72851891	-0.03412027
0.75771621	-0.02933877
0.78576598	-0.02483952
0.81255226	-0.02066911
0.83796287	-0.01686478
0.86188981	-0.01345384
0.88422985	-0.01045374
0.90488506	-0.00787149
0.92376352	-0.00570427
0.94077994	-0.00393919
0.95585632	-0.00255422
0.96892265	-0.00151836
0.97991750	-0.00079291
0.98878866	-0.00033213
0.99549361	-0.00008490
1.00000000	0.00000000
